聴力単語,平仮名,意味,词频
厳しい,きびしい,严；严格；严厉；严峻,极高
アナウンサー,あなうんさー,播音员;广播员；报告员。,极高
期待,きたい,～,极高
書類,しょるい,文件；档案；资料。,极高
予約,よやく,～,极高
アドバイス,あどばいす,忠告；劝告；咨询。,高
効率,こうりつ,～,高
パソコン,ぱそこん,个人电脑，计算机。,高
メディア,めでぃあ,媒体,高
予定,よてい,～,高
落書き,らくがき,胡写，乱涂写（的）画,高
限り,かぎり,限，限度，极限,高
講演会,こうえんかい,～,高
集める,あつめる,集合，收集，集中,高
対応,たいおう,对等，对应，对立，相对。,高
得意,とくい,擅长,高
分析,ぶんせき,分析，化验。分析，剖析。,高
目標,もくひょう,～,高
依頼,いらい,委托,中
インターネット,いんたーねっと,因特网。,中
インタビュー,いんたびゅー,采访，访问。,中
うんざり,うんざり,彻底厌倦，厌烦,中
エネルギー,えねるぎー,精力，活力，干劲，能量,中
延長,えんちょう,～,中
回数,かいすう,～,中
確保,かくほ,～,中
技術,ぎじゅつ,～,中
期待,きたい,～,中
キャンペーン,きゃんぺーん,宣传运动，宣传活动，,中
経験,けいけん,～,中
ゲーム,げーむ,游戏,中
結構,けっこう,结构；布局,中
後悔,こうかい,～,中
サービス,さーびす,招待，廉价出售；服务,中
順序,じゅんじょ,～,中
過ごす,すごす,度过,中
捨てる,すてる,扔掉，抛弃。,中
スポーツジム,すぽーつじむ,健身房，体育馆。,中
制作,せいさく,～,中
体験,たいけん,～,中
タイトル,たいとる,标题；题目。字幕。,中
頼む,たのむ,拜托,中
地域,ちいき,地域，地区。,中
ツアー,つあー,旅行，旅游，游览。,中
通勤,つうきん,上下班，通勤。,中
データ,でーた,数据,中
抜く,ぬく,抽出；拔掉。除掉,中
背景,はいけい,背景;布景;后盾;靠山,中
激しい,はげしい,激烈的，猛烈的，强烈的,中
反応,はんのう,～,中
パンフレット,ぱんふれっと,小册子；场刊，宣传册。,中
病気,びょうき,～,中
拾う,ひろう,捡,中
ペース,ぺーす,速度，步调，步伐，进度。,中
ボランティア,ぼらんてぃあ,志愿者,中
