単語,平仮名,意味,词频
集める,あつめる,集合，收集，集中,极高
アナウンサー,あなうんさー,播音员;广播员；报告员。,极高
意味,いみ,意思,极高
インターネット,いんたーねっと,因特网。,极高
ウェブ,うぇぶ,网，网络，万维网,极高
エネルギー,えねるぎー,精力，活力，干劲，能量,极高
解決,かいけつ,～,极高
確保,かくほ,～,极高
機械,きかい,～,极高
技術,ぎじゅつ,～,极高
期待,きたい,～,极高
厳しい,きびしい,严；严格；严厉；严峻,极高
業務,ぎょうむ,～,极高
経験,けいけん,～,极高
効率,こうりつ,～,极高
高齢,こうれい,～,极高
捨てる,すてる,扔掉，抛弃。,极高
戦略,せんりゃく,～,极高
地域,ちいき,地域，地区。,极高
都合,つごう,准备；安排；情况，障碍，机会,极高
分野,ぶんや,领域，范围，战线，方面，岗位。,极高
目標,もくひょう,～,极高
有効,ゆうこう,～,极高
空き,あき,空缺；空闲,极高
個性化,こせいか,～,极高
書類,しょるい,文件；档案；资料。,极高
得意,とくい,擅长,极高
反応,はんのう,～,极高
予約,よやく,～,极高
アドバイス,あどばいす,忠告；劝告；咨询。,高
イメージ,いめーじ,形象；心象；意象；图像，影像,高
回数,かいすう,～,高
開発,かいはつ,～,高
価値,かち,～,高
患者,かんじゃ,～,高
工夫,くふう,想办法,高
ゲーム,げーむ,游戏,高
結構,けっこう,结构；布局,高
現状,げんじょう,～,高
サービス,さーびす,招待，廉价出售；服务,高
実際,じっさい,～,高
過ごす,すごす,度过,高
せっかく,せっかく,煞费苦心，特意。难得。,高
組織,そしき,～,高
体験,たいけん,～,高
多様,たよう,多种多样,高
伴う,ともなう,伴随,高
仲間,なかま,同志，朋友，伙伴,高
パソコン,ぱそこん,个人电脑，计算机。,高
引っ越し,ひっこし,搬家,高
評価,ひょうか,～,高
拾う,ひろう,捡,高
保護,ほご,～,高
ボランティア,ぼらんてぃあ,志愿者,高
マニュアル,まにゅある,手册,高
守る,まもる,看守；守护,高
見極める,みきわめる,看到最后，确认。看清，看透。,高
無理,むり,无理，不讲理。,高
メール,めーる,邮件,高
目指す,めざす,目标,高
メディア,めでぃあ,媒体,高
メモ,めも,备忘录；笔记,高
役割,やくわり,分配的（任务），担当的职务。,高
予定,よてい,～,高
落書き,らくがき,胡写，乱涂写（的）画,高
利益,りえき,～,高
価格,かかく,～,高
改善,かいぜん,～,高
観察,かんさつ,～,高
機能,きのう,机能；功能；作用,高
逆,ぎゃく,逆，倒，反，颠倒。,高
限り,かぎり,限，限度，极限,高
絞る,しぼる,榨；挤；拧,高
講演会,こうえんかい,～,高
載せる,のせる,放，搁；托。记载，载入；登载,高
際に,さいに,紧要关头,高
施設,しせつ,～,高
実現,じつげん,～,高
取り組む,とりくむ,着手，对付，解决，应对。较量,高
対応,たいおう,对等，对应，对立，相对。,高
導入,どうにゅう,～,高
把握,はあく,握紧,高
備えて,そなえて,准备；预备,高
分析,ぶんせき,分析，化验。分析，剖析。,高
アイディア,あいでぃあ,主意；想法,中
生かす,いかす,使其发挥作用；使其继续生存,中
戒める,いましめる,警戒,中
依頼,いらい,委托,中
違和感,いわかん,不协调感,中
インタビュー,いんたびゅー,采访，访问。,中
ウェブサイト,うぇぶさいと,网站，网络站点,中
うんざり,うんざり,彻底厌倦，厌烦,中
演劇,えんげき,演剧，戏剧。,中
延長,えんちょう,～,中
恐れる,おそれる,害怕；恐怕,中
落ち込み,おちこみ,衰落,中
驚い,おどろい,吃惊,中
回顧,かいこ,回顾,中
過去,かこ,过去，从前。,中
語る,かたる,讲述,中
関する,かんする,有关,中
気の毒,きのどく,（感到）可怜，悲惨。,中
キャリア,きゃりあ,职业。履历，比赛经历,中
キャンペーン,きゃんぺーん,宣传运动，宣传活动，,中
協力,きょうりょく,～,中
議論,ぎろん,议论，争辩。,中
クレジットカード,くれじっとかーど,信用卡,中
契約,けいやく,～,中
景色,けしき,～,中
検討,けんとう,讨论，探讨，研究。,中
行為,こうい,～,中
効果,こうか,～,中
後悔,こうかい,～,中
心当たり,こころあたり,猜想，估计，线索。,中
コミュニケーション,こみゅにけーしょん,沟通，交流；通信，报导。,中
避ける,さける,躲开,中
差別,さべつ,～,中
時期,じき,～,中
シフト,しふと,换档,中
受賞,じゅしょう,获奖；得奖,中
順序,じゅんじょ,～,中
準備,じゅんび,～,中
状態,じょうたい,～,中
深刻,しんこく,～,中
心配,しんぱい,担心，不安，操心,中
進歩,しんぽ,进步，事物逐渐好转,中
スピード,すぴーど,快速，迅速。速度,中
制度,せいど,～,中
設置,せっち,设置；安装。,中
宣伝,せんでん,～,中
ソファ,そふぁ,沙发。,中
それどころか,それどころか,岂止如此；岂但那样,中
退屈,たいくつ,无聊，闷；寂寞；厌倦。,中
対策,たいさく,～,中
タイトル,たいとる,标题；题目。字幕。,中
巧み,たくみ,巧妙,中
頼む,たのむ,拜托,中
チーム,ちーむ,～,中
知識,ちしき,～,中
注目,ちゅうもく,～,中
ツアー,つあー,旅行，旅游，游览。,中
通勤,つうきん,上下班，通勤。,中
データ,でーた,数据,中
登録,とうろく,登记，注册。,中
泊り,とまり,住宿,中
なかなか,なかなか,颇，很，非常，相当。,中
抜く,ぬく,抽出；拔掉。除掉,中
背景,はいけい,背景;布景;后盾;靠山,中
配属,はいぞく,分配,中
バイト,ばいと,字节，位组,中
激しい,はげしい,激烈的，猛烈的，强烈的,中
果たす,はたす,完全……；彻底……，完成,中
反対,はんたい,～,中
販売,はんばい,～,中
パンフレット,ぱんふれっと,小册子；场刊，宣传册。,中
病気,びょうき,～,中
ファクス,ふぁくす,传真,中
複数,ふくすう,～,中
プロジェクト,ぷろじぇくと,企划。设计。开发项目。,中
ペース,ぺーす,速度，步调，步伐，进度。,中
ベンチャー,べんちゃー,冒险，投机，风险投资。,中
マスメディア,ますめでぃあ,传媒介，宣传工具,中
マラソン大会,まらそんたいかい,马拉松大会,中
見渡す,みわたす,远望，具望，展望。,中
向き合う,むきあう,相对，相向，面对面,中
報う,むくう,报应；得报,中
結び,むすび,连结,中
メーカー,めーかー,制造厂，厂商；制造者。,中
メリット,めりっと,好处,中
薬品,やくひん,～,中
様子,ようす,情况。举止，神态,中
喜び,よろこび,喜悦,中
ライン,らいん,线。系统。,中
リーダー,りーだー,指导者；干部；先驱,中
リスト,りすと,名簿，名单；表，目录，一览表。,中
ロボット,ろぼっと,机器人,中
扱う,あつかう,待遇；对待接待,中
意欲,いよく,热情,中
慰める,なぐさめる,轻松，使愉快。安慰,中
一方で,いっぽうで,一方面,中
運転,うんてん,开，驾驶，运转,中
応募者,おうぼしゃ,应募者；应征者；认购者,中
科目,かもく,项目，条款。,中
過程,かてい,～,中
株式,かぶしき,股，股份；股票,中
緩やか,ゆるやか,缓慢,中
陥る,おちいる,陷入,中
規模,きぼ,～,中
記録,きろく,～,中
客観的,きゃっかんてき,客观的,中
居心地,いごこち,心情；感觉,中
極める,きわめる,穷其究竟，达到极限。,中
勤務,きんむ,就职，工作，职务。,中
建て替え,たてかえ,改建,中
誤解,ごかい,误解,中
購入,こうにゅう,～,中
豪快,ごうかい,豪爽；豪迈,中
克服,こくふく,～,中
混雑,こんざつ,混乱；混杂,中
雑草,ざっそう,～,中
姿勢,しせい,～,中
自覚,じかく,～,中
取引先,とりひきさき,客户，交易户，往来户，顾客,中
充実,じゅうじつ,～,中
重なる,かさなる,重叠。,中
申し込む,もうしこむ,提议，申请，要求。预约。,中
進行,しんこう,进行；发展,中
製品,せいひん,制品，产品，成品。,中
積み重ね,つみかさね,积累，层叠、层积、重叠,中
打合せ,うちあわせ,讨论会，事先商量，碰头,中
眺め,ながめ,眺望，了望,中
提示,ていじ,～,中
提出,ていしゅつ,～,中
適切,てきせつ,恰当；适当；妥切。,中
転機,てんき,～,中
売却,ばいきゃく,卖掉，销售，变卖,中
売上,うりあげ,交易金额，营业额,中
迫る,せまる,强迫；迫使,中
発想,はっそう,想出，主意。表达，表现,中
